Year,Date,Elevation,Time,Sex,SVL,Tbody,Gravid,Tsurface,Tair
2020,2020/7/25,3400m,11,M,3.8,33,NO,25.9,17.8
2020,2020/7/25,3400m,11,F,5.7,33.4,YES,25.9,17.8
2020,2020/7/25,3400m,11,F,5.2,34.5,NO,21.8,17.5
2020,2020/7/25,3400m,11,M,3.8,35.5,NO,27,16.6
2020,2020/7/25,3400m,11,M,5.7,35.8,NO,30.2,21.4
2021,2021/8/2,3400m,11,M,5.3,38.2,NO,41.6,27.4
2021,2021/8/2,3400m,11,F,6.5,35.9,YES,26.9,19
2021,2021/8/2,3400m,11,M,5.3,34.7,NO,33.4,25
2021,2021/8/2,3400m,11,F,5.6,33.7,YES,39.3,28.8
2021,2021/8/2,3400m,11,F,5.9,36,NO,36.9,23.6
2021,2021/8/2,3400m,11,M,5.6,35.1,NO,36.6,25
2021,2021/8/2,3400m,11,F,6,34.7,YES,34.4,25.3
2021,2021/8/2,3400m,11,M,5.3,36.7,NO,39.3,25.4
2021,2021/8/2,3400m,11,F,5.3,36.4,YES,39.5,28
2021,2021/8/2,3400m,11,M,5.3,39,NO,36.1,28.3
2021,2021/8/2,3400m,11,F,4.5,37.2,NO,39.2,28.8
2021,2021/8/2,3400m,11,F,5.1,34.9,NO,36.2,27.2
2021,2021/8/2,3400m,11,F,6.2,36,YES,32,24.5
2021,2021/8/9,3400m,11,M,6.2,39.6,NO,29.6,19.4
2021,2021/8/9,3400m,11,F,6.1,39.4,NO,32.2,24
2021,2021/8/9,3400m,11,M,5.4,39.2,NO,35.8,25.9
2021,2021/8/9,3400m,11,F,4.3,39.4,NO,34.2,21
2021,2021/8/9,3400m,11,F,3.7,38.2,NO,31.3,24.1
2021,2021/8/9,3400m,11,M,6.1,38,NO,32.3,24.2
2021,2021/8/9,3400m,11,F,4.3,37.2,NO,30.7,23.2
2021,2021/8/9,3400m,11,F,2.7,36.2,NO,32.3,22.3
2021,2021/8/9,3400m,11,F,4.3,36.6,NO,33.1,20.9
2021,2021/8/9,3400m,11,M,5.7,37.5,NO,35,23.2
2021,2021/8/9,3400m,11,F,5.5,39.6,NO,33.4,19.2
2020,2020/6/29,3400m,11,F,5.7,36.7,NO,33,21.1
